"02/01/2025,Piaui Materiais de Construcoes,00307868,500006,Venda,30/11/2024,0101,000000003.0,00000000.12,00000002.88";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500010,Venda,30/11/2024,0101,00000098.78,00000003.95,00000094.83";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda Parcelada,30/11/2024,0103,00000085.67,00000003.85,00000081.82";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,30/11/2024,0103,00000042.02,00000001.89,00000040.13";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500011,Venda Parcelada,30/11/2024,0103,00000333.33,00000000015,00000318.33";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,30/11/2024,0105,000000084.0,00000003.78,00000080.22";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500005,Venda Parcelada,30/11/2024,0106,00000189.85,00000008.54,00000181.31";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500008,Venda Parcelada,30/11/2024,0106,00000238.18,00000010.71,00000227.47";;;;;;;;;;;;;;;;;;;;;;
"02/01/2025,Piaui Materiais de Construcoes,00307868,500009,Venda Parcelada,30/11/2024,0106,000000117.5,00000005.28,00000112.22";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00014318,20220,Venda Parcelada,25/06/2024,0606,000000090.2,00000004.09,00000086.11";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,27/07/2024,0505,000000180.0,000000008.1,000000171.9";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,27/07/2024,0505,00000000200,00000000009,00000000191";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500003,Venda Parcelada,28/08/2024,0404,00000321.63,00000014.48,00000307.15";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,28/08/2024,0404,00000023.07,00000001.06,00000022.01";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,28/08/2024,0406,00000273.86,00000012.32,00000261.54";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500002,Venda Parcelada,31/10/2024,0202,000000037.7,000000001.7,00000000036";;;;;;;;;;;;;;;;;;;;;;
"03/01/2025,Piaui Materiais de Construcoes,00307868,500004,Venda Parcelada,31/10/2024,0204,00000494.49,00000022.25,00000472.24";;;;;;;;;;;;;;;;;;;;;;
